0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:44:58 +0900] "GET /a_mybatis_board07/board/list/notice?page=5 HTTP/1.1" 200 4921
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:44:59 +0900] "GET /a_mybatis_board07/board/list/notice HTTP/1.1" 200 4921
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:45:01 +0900] "GET /a_mybatis_board07/board/list/notice HTTP/1.1" 200 4921
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:45:02 +0900] "GET /a_mybatis_board07/board/list/notice?page=3 HTTP/1.1" 200 4921
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:45:03 +0900] "GET /a_mybatis_board07/board/list/notice?page=6 HTTP/1.1" 200 4921
0:0:0:0:0:0:0:1 - - [11/Jan/2023:11:45:03 +0900] "GET /a_mybatis_board07/board/list/notice?page=9 HTTP/1.1" 200 4921
0:0:0:0:0:0:0:1 - - [11/Jan/2023:12:07:29 +0900] "GET /a_mybatis_board07/board/list/notice?page=9 HTTP/1.1" 200 5599
0:0:0:0:0:0:0:1 - - [11/Jan/2023:12:07:29 +0900] "GET /a_mybatis_board07/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:12:07:29 +0900] "GET /a_mybatis_board07/resources/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:12:07:29 +0900] "GET /a_mybatis_board07/resources/js/list.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2023:12:07:49 +0900] "GET /a_mybatis_board07/board/list/notice?page=9 HTTP/1.1" 200 5617
0:0:0:0:0:0:0:1 - - [11/Jan/2023:12:07:54 +0900] "GET /a_mybatis_board07/board/list?type=T&keyword=%EC%8A%A4%ED%94%84%EB%A7%81 HTTP/1.1" 200 5658
0:0:0:0:0:0:0:1 - - [11/Jan/2023:12:07:58 +0900] "GET /a_mybatis_board07/board/list?type=T&keyword=%EC%9E%90%EB%B0%94 HTTP/1.1" 200 5625
0:0:0:0:0:0:0:1 - - [11/Jan/2023:12:08:02 +0900] "GET /a_mybatis_board07/board/list/?page=2&type=T&keyword=%EC%9E%90%EB%B0%94 HTTP/1.1" 200 5625
0:0:0:0:0:0:0:1 - - [11/Jan/2023:12:08:03 +0900] "GET /a_mybatis_board07/board/list/?page=3&type=T&keyword=%EC%9E%90%EB%B0%94 HTTP/1.1" 200 5625
0:0:0:0:0:0:0:1 - - [11/Jan/2023:12:08:03 +0900] "GET /a_mybatis_board07/board/list/?page=4&type=T&keyword=%EC%9E%90%EB%B0%94 HTTP/1.1" 200 5625
0:0:0:0:0:0:0:1 - - [11/Jan/2023:12:08:04 +0900] "GET /a_mybatis_board07/board/list/?page=5&type=T&keyword=%EC%9E%90%EB%B0%94 HTTP/1.1" 200 5625
0:0:0:0:0:0:0:1 - - [11/Jan/2023:12:08:04 +0900] "GET /a_mybatis_board07/board/list/?page=6&type=T&keyword=%EC%9E%90%EB%B0%94 HTTP/1.1" 200 5625
0:0:0:0:0:0:0:1 - - [11/Jan/2023:12:08:06 +0900] "GET /a_mybatis_board07/board/list/?page=1&type=T&keyword=%EC%9E%90%EB%B0%94 HTTP/1.1" 200 5625
0:0:0:0:0:0:0:1 - - [11/Jan/2023:12:08:11 +0900] "GET /a_mybatis_board07/board/list?type=C&keyword=%EC%A0%95%EB%B3%B4%EC%B2%98%EB%A6%AC HTTP/1.1" 200 5741
0:0:0:0:0:0:0:1 - - [11/Jan/2023:12:08:13 +0900] "GET /a_mybatis_board07/board/list/?page=10&type=C&keyword=%EC%A0%95%EB%B3%B4%EC%B2%98%EB%A6%AC HTTP/1.1" 200 5741
0:0:0:0:0:0:0:1 - - [11/Jan/2023:12:08:13 +0900] "GET /a_mybatis_board07/board/list/?page=11&type=C&keyword=%EC%A0%95%EB%B3%B4%EC%B2%98%EB%A6%AC HTTP/1.1" 200 5855
0:0:0:0:0:0:0:1 - - [11/Jan/2023:12:08:14 +0900] "GET /a_mybatis_board07/board/list/?page=15&type=C&keyword=%EC%A0%95%EB%B3%B4%EC%B2%98%EB%A6%AC HTTP/1.1" 200 5845
0:0:0:0:0:0:0:1 - - [11/Jan/2023:12:08:15 +0900] "GET /a_mybatis_board07/board/list/?page=12&type=C&keyword=%EC%A0%95%EB%B3%B4%EC%B2%98%EB%A6%AC HTTP/1.1" 200 5853
0:0:0:0:0:0:0:1 - - [11/Jan/2023:12:08:16 +0900] "GET /a_mybatis_board07/board/list/?page=13&type=C&keyword=%EC%A0%95%EB%B3%B4%EC%B2%98%EB%A6%AC HTTP/1.1" 200 5845
0:0:0:0:0:0:0:1 - - [11/Jan/2023:12:08:16 +0900] "GET /a_mybatis_board07/board/list/?page=14&type=C&keyword=%EC%A0%95%EB%B3%B4%EC%B2%98%EB%A6%AC HTTP/1.1" 200 5845
0:0:0:0:0:0:0:1 - - [11/Jan/2023:12:08:16 +0900] "GET /a_mybatis_board07/board/list/?page=12&type=C&keyword=%EC%A0%95%EB%B3%B4%EC%B2%98%EB%A6%AC HTTP/1.1" 200 5853
0:0:0:0:0:0:0:1 - - [11/Jan/2023:12:08:17 +0900] "GET /a_mybatis_board07/board/list/?page=11&type=C&keyword=%EC%A0%95%EB%B3%B4%EC%B2%98%EB%A6%AC HTTP/1.1" 200 5855
0:0:0:0:0:0:0:1 - - [11/Jan/2023:12:08:18 +0900] "GET /a_mybatis_board07/board/list/?page=10&type=C&keyword=%EC%A0%95%EB%B3%B4%EC%B2%98%EB%A6%AC HTTP/1.1" 200 5741
0:0:0:0:0:0:0:1 - - [11/Jan/2023:12:08:31 +0900] "GET /a_mybatis_board07/board/list/notice HTTP/1.1" 200 5617
0:0:0:0:0:0:0:1 - - [11/Jan/2023:12:08:40 +0900] "GET /a_mybatis_board07/board/list?type=T&keyword=%EC%A0%95%EB%B3%B4%EC%B2%98%EB%A6%AC HTTP/1.1" 200 5741
0:0:0:0:0:0:0:1 - - [11/Jan/2023:12:08:42 +0900] "GET /a_mybatis_board07/board/list/notice HTTP/1.1" 200 5617
0:0:0:0:0:0:0:1 - - [11/Jan/2023:12:09:12 +0900] "GET /a_mybatis_board07/board/list/notice HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [11/Jan/2023:12:09:14 +0900] "GET /a_mybatis_board07/board/list/notice HTTP/1.1" 200 5624
